"sys_created_on","number","short_description","description","u_error_symptoms","tags"
"2025-02-04 11:19:56","INC41377585","CH -ORDERS NOT CLOSED IN IRIS","CH- Orders not closed in IRIS  Product entered by customer: IRIS","","Order Issue"
"2025-02-04 12:05:26","INC41377897","Aged order needs to be cleared in WMS and Iris. ","2+days aged order needs to be cleared in WMS and Iris. 778483577-1","Aged order needs to be cleared in WMS and Iris. ","?"
"2025-02-04 12:56:18","INC41378502","IRIS order never shipped.  Stuck in APS in process.  Please process","IRIS order never shipped.  Stuck in APS in process 772396439-1  --  order not found in PTMS. user wants it to be cancelled/recalled, but we can't cancel it while it's in a packed status.","IRIS order never shipped.  Stuck in APS in process.  Please process","Order Issue, User Request"
"2025-02-04 13:18:47","INC41379009"," IRIS (Integrated Rx Information System) - Password reset "," I'm changing my password for Iris trying to get into Genesis and it doesn't matter which password I put in there, it will not accept it."," Password reset ","Password"
"2025-02-04 13:36:39","INC41379480","FLW: IRIS (Integrated Rx Information System) - Unable to Login","my IRIS is not taking my MS ID and password","Login Failed","User Login"
"2025-02-04 13:43:42","INC41379650","New device request -MFA TEAM","//windows pin required for advocate central use and also first call of the day had headset issues  Please assist user in getting a new device.","","?"
"2025-02-04 13:48:21","INC41379674","Repoint ST02 EBS DB from single to RAC node in ST02 SOA.","changing db name of database  from ST02 to DV99 for XD02dbadm01.","","?"
"2025-02-04 14:02:19","INC41380232","IRIS (Integrated Rx Information System) - Unable to find issue for IRIS (Integrated Rx Information System)","IRIS database table M_CT_results_Hist_Daily is not matching with IEX for ct_id 4631 and 8747 for date 02/03/2025. calls received in IEX for ct_id 4631 is 4001 and in IRIS 1339 calls received. calls received in IEX for ct_id 8747is 3387and in IRIS 1062calls received. Please review.","IRIS (Integrated Rx Information System)","Errors, User Request"
"2025-02-04 14:24:26","INC41381046","IRIS (Integrated Rx Information System) - Unable to change password","I am trying to login and ask me to change my password and keeps giving me an error message: Password must not contain repeating characters","Unable to create new password","Password"
"2025-02-04 14:38:26","INC41381563","IRIS (Integrated Rx Information System) - Unable to Login","I cannot reset my IRIS password","unable to reset IRIS password","Password, User Login"
"2025-02-04 14:42:55","INC41381760","IRIS (Integrated Rx Information System) - Unable to Login","I can't login to IRIS","log in issue failed","User Login"
"2025-02-04 14:56:35","INC41382255","Request for Help Desk support","PreRx users reporting on the prex form units per a day field with decimals is frequently populating with a comma "","" instead of a period "".""  Please route to SOS- Systems Operations Solutions (ORx)","","?"
"2025-02-04 15:05:42","INC41382617","Request for Help Desk support","Java Iris unable to enter commands.","","Errors"
"2025-02-04 15:21:18","INC41383244","IRIS (Integrated Rx Information System) - Unable to login","iris username and password help","Unable to login","Password, User Login"
"2025-02-04 15:26:46","INC41383501","IRIS (Integrated Rx Information System) - Launch Issues","iris freeze","iris freeze","Launch Issues, Latency"
"2025-02-04 15:32:28","INC41383705","IRIS (Integrated Rx Information System) - Unable to Login","I'm trying to reset iris password","Unable to login","Password, User Login"
"2025-02-04 15:34:21","INC41383808","IRIS (Integrated Rx Information System) - Unable to Login","I need to reset my IRIS password. It ","Unable to Login","Password, User Login, User Request"
"2025-02-04 15:38:46","INC41384010","Advocate Central and Audio issue","windows pin required for advocate central use and also first call of the day had headset issues","","?"
"2025-02-04 15:41:51","INC41384133","IRIS issue","IRIS keeps opening to a blank black screen","","Latency, Errors"
"2025-02-04 15:52:35","INC41384616","IRIS (Integrated Rx Information System) - Unable to Login","I am unable to login to IRIS","unable to login to IRIS","User Login"
"2025-02-04 15:55:28","INC41384742","IRIS (Integrated Rx Information System) - Unable to Process Payment","I am trying to process a payment in IRIS and the card says that ther is an issue in our end","Unable to Process Payment","Payment"
"2025-02-04 16:14:58","INC41385485","Needing order closed manually in IRIS","Order was processed in fulfillment and shipped without a tracking label. An exception label was shipped. Because no tracking was exported to IRIS, the order is still open. In order to get a new order set up, this order requires manual closure.  Product entered by customer: ","","Order Issue"
"2025-02-04 16:18:45","INC41385661","IRIS (Integrated Rx Information System) - How to reset your IRIS password","currently locked out of IRIS , then i tried to change my password , its not recognizing the old one . now i cant get in to IRIS . ","unable to reset the password ","Password, User Login"
"2025-02-04 16:31:47","INC41386179","IRIS - RPh Clinical Intake Review survey was not launched/recorded ","An RPh Clinical Intake Review survey was not launched/recorded for account 473987237 in IRIS when a CMP Hold was removed from order 778889574.","An RPh Clinical Intake Review survey was not launched/recorded for account 473987237 in IRIS when a CMP Hold was removed from order 778889574.","Image Viewer"
"2025-02-04 16:47:51","INC41386436","CA950 - IRIS password reset assist","IRIS password reset assist","","Password"
"2025-02-04 16:51:50","INC41386895","IRIS (Integrated Rx Information System) - Login failed. Please verify your login information or contact the system administrator.","Yes, I am trying to sign into Oracle Iris and it's not accepting my password anymore.","Login failed. Please verify your login information or contact the system administrator.","User Login"
"2025-02-04 17:24:59","INC41388142","NDURE go live testing"," Here is the F5 that has been setup for NDURE in non-prod- https://stage-ndure-service.optum.com/api/rx/dur/check Please note that NDURE is only setup on ELR datacenter.  1. Work with DBA team or Change the XXIRIS_CONS table 2. Verify that the URL is correct. 3. Support the team during testing by trying to triage the problem if any issues Arise. ","","Alert, User Request"
"2025-02-04 18:12:30","INC41389659","IRIS (Integrated Rx Information System) - Unable to access ORACLE application","user facing issue with IRIS password.user unable to reset the password.","user facing issue with IRIS password.user unable to reset the password.","Password"
"2025-02-04 18:15:56","INC41389761","FLW - Windows - Laptop not responding on applications such as Iris which causes laptop to freeze","Since I've been login to my system today it kinda won't let me type of everything and then I restart it and everything was good and now Iris starting acting up so it's stuck in a loading process","Laptop not responding on applications such as Iris which causes laptop to freeze","User Login"
"2025-02-04 18:39:24","INC41390474","CAG Term","see attached email","","?"
"2025-02-04 18:42:20","INC41390593","IRIS (Integrated Rx Information System)  - Clear SMF FYE field in IRIS on 1/14","Clear SMF FYE field in IRIS on 1/14 XXSPLT Prescription SMF Flag Update Datafix Clear FYE/SMF Reason - Yes Enter the From Date- 01-JAN-2024  Product entered by customer: ","Clear SMF FYE field in IRIS on 1/14 XXSPLT Prescription SMF Flag Update Datafix Clear FYE/SMF Reason - Yes Enter the From Date- 01-JAN-2024","?"
"2025-02-04 19:00:20","INC41391156","Selected Issue: IRIS self resolved","Iris sent message to sign in when I already was so said no which caused the system to froze and wouldnt let me get out of it so did reboot and seem to be ok and am on it now","","User Login"
"2025-02-04 19:05:13","INC41391309","Request for Help Desk support","need rx 454093192 unlocked","","RX locked"
"2025-02-04 19:11:03","INC41391485","IRIS telephony is not connecting","iris is not working","","Errors"
"2025-02-04 19:21:38","INC41391834","Please provide 3rd party access to NextGen for med resident, Sirish Pandy precepting w/Dr. Van Hollebeke","CareMount Medical (CMM) Does this issue affect multiple users: No The medical resident would need access to NGen and remote access as well. They will be precepting w/Dr. Van Hollebeke for 2 weeks.","","?"
"2025-02-04 19:23:09","INC41391889","need hash clear for account 470447500 erx meant for account 474315359 was processed on wrong account","need hash clear for account 470447500 erx meant for account 474315359 was processed on wrong account route to MSA ORACLE EBS (RXS) - SPT","need hash clear for account 470447500 erx meant for account 474315359 was processed on wrong account","User Login, User Request"
"2025-02-04 19:47:59","INC41392642","IRIS (Integrated Rx Information System) - Unable to find issue for IRIS (Integrated Rx Information System)","Iris  application is freezing and slow ","","Latency, Errors"
"2025-02-04 19:51:04","INC41392741","IRIS (Integrated Rx Information System) - SMS patients previously enrolled in SMF that were disenrolled but new Rx received carrying over SMF flag","IRIS account - 83980570 Impacted RXs - 453573210, 456371947  Enrolled in SMF after patient had disenrolled Rx 424755103 - Enrolled on 7/6/24 Rx 434850932 - Disenrolled 10/4/24 This disenrollment should have stopped any further RXs from being marked SMF = E  Product entered by customer: ","","?"
"2025-02-04 19:59:52","INC41393000","IRIS (Integrated Rx Information System) - Unable to View Image","I am having issue with IRIS, it is not launching.","I am having issue with IRIS, it is not launching.","Launch Issues, Image Viewer"
"2025-02-04 20:06:30","INC41393245","IRIS (Integrated Rx Information System) - Unable to Login","i have a programs in citrix called iris ","unabel to login  no temporary password ","User Login"
"2025-02-04 20:06:31","INC41393246","IRIS (Integrated Rx Information System) - Unable to Login","I have an issue with my Iris ","Unable to Login","User Login"
"2025-02-04 20:08:06","INC41393298"," IRIS TS02 Access","We need new IRIS TS02 user ids based off https://uhgazure.sharepoint.com/:x:/t/IRISTS06toTS02Migration/ERDcwf7Laf9MvA4bReyJO7UBKN5ZXcHvzgCTLOmgdWS8pA?e=pI7fbl","","?"
"2025-02-04 20:11:39","INC41393396","IRIS (Integrated Rx Information System) - FRM-92101: There was a Failure in the Forms Server During Startup","My applicatio IRIS it gives me an error message","There was a Failure in the Forms Server During Startup","Errors"
"2025-02-04 20:17:02","INC41393553","IRIS (Integrated Rx Information System) - Unable to Login","unable to log in into iris","IS (Integrated Rx Information System) - Unable to Login","User Login"
"2025-02-04 20:18:11","INC41393581","IRIS (Integrated Rx Information System) - Unable to find issue for IRIS (Integrated Rx Information System)","Iris cannot connect and having an error","Unable to connecr IRIS ","Launch Issues, Errors"
